一	1
花	204,46,24
芬	204,48,81
芥	204,45,43
芯	204,257
芸	204,19,88
芣	204,191
芰	204,20,84
芾	204,189
芷	204,206
虎	372,55
虱	13,1,375
初	403,81
表	178,243
軋	419,9
迎	253,65,75
返	253,22,84
近	253,232
邵	81,119,166
邸	240,1,166
邱	330,166
邶	117,25,166
采	234,184
金	469
長	446
門	461
阜	5,321,20
陀	166,139,24
阿	166,32,119
阻	166,299
附	166,46,113
陂	166,349
隹	467
雨	453
青	178,238
非	463
亟	34,119,84,1
亭	67,119,72,32
亮	67,119,72,55
信	46,442
侵	46,150,72,84
侯	46,74,42,105
便	46,421
俠	46,105,47,47
俑	46,89,39,97
俏	46,161,382
保	46,119,186
促	46,119,207
侶	46,119,5,119
俘	46,234,162
俟	46,88,42,105
俊	46,88,50,131
俗	46,49,45,119
侮	46,42,274
俐	46,326,82
俄	46,435
係	46,5,416
俚	46,429
俎	47,47,299
俞	45,1,238,82
侷	46,142,11,119
兗	67,49,119,55
冒	211,298
冑	302,212
冠	72,19,55,113
剎	54,188,6,82
剃	70,265,5,82
削	161,382,82
前	140,238,82
剌	424,82
剋	20,119,55,82
則	434,82
勇	89,39,97,83
勉	63,309,83
勃	20,72,163,83
勁	1,170,103,83
匍	64,420
南	20,39,70,95;20,39,140,20
卻	49,47,119,75
厚	22,209,162
叛	70,98,22,84
咬	119,67,237
哀	67,119,243
咨	19,62,45,119
哎	119,204,53
哉	20,202,119
咸	295,1,119
咦	119,371
咳	119,404
哇	119,99,99
哂	119,361
咽	119,120,106
咪	119,405
品	119,119,119
哄	119,183,49
哈	119,45,1,119
咯	119,130,119
咫	142,7,119,49
咱	119,392
咻	119,46,184
咩	119,406
咧	119,195,82
咿	119,46,271
囿	120,23,238
垂	478
型	1,108,82,99
垠	100,412
垣	100,1,209,1
垢	100,44,1,119
城	100,295,11
垮	100,105,1,34
垓	100,404
奕	67,242,106
契	229,81,106
奏	279,1,106
奎	105,99,99
奐	63,41,47,106
姜	140,99,155;70,173,155
姘	156,140,108
姿	19,62,47,155
姣	156,67,237
姨	156,371
娃	156,99,99
姥	156,180,24
姪	156,368
姚	156,55,252
姦	155,156,155
威	295,1,155
姻	156,120,106
孩	163,404
宣	139,1,209,1
宦	139,359
室	139,368
客	139,130,119
宥	139,23,238
封	99,100,113
屎	142,405
屏	142,140,108
屍	142,195,24
屋	142,368
峙	121,101,113
峒	121,39,1,119
巷	183,48,145
帝	67,70,72,122
帥	5,321,122
帟	67,242,122
幽	169,169,121
庠	138,406
度	138,182,84
建	410,157
弈	67,242,108
弭	149,356
彥	248,22,128
很	127,412
待	127,101,113
徊	127,120,119
